ID,Trial,Decision,AbsolutePay,AbsolutePayPower,Rank,Fairness,FeelingRating,Disadvantageous,Advantageous,MeanOffer
1,0.0166666666666667,1,34,4.55549877645288,0,0.158208955223881,0.226415094339623,24.5,0,53.6
1,0.0333333333333333,0,7,2.30883106524301,0,0.518287937743191,0.0169811320754719,55.5,0,51.4
1,0.05,1,70,6.21429916848922,0.5,0.435867446393762,0.654716981132075,59.75,19,102.6
1,0.0666666666666667,0,13,3.01297578630447,0,0.36504854368932,0.00188679245283019,35.25,0,41.2
1,0.0833333333333333,1,92,6.98922088130298,0.25,0.200380952380952,0.635849056603774,29.75,13.5,105
1,0.1,1,48,5.28364623763486,0.5,0.290140845070423,0.469811320754717,20.25,9.25,56.8
1,0.116666666666667,1,175,9.21523385815334,0.75,0.23026706231454,0.850943396226415,5.25,55.5,134.8
1,0.133333333333333,1,76,6.43798328341031,0.5,0.169269521410579,0.50188679245283,14.25,10,79.4
1,0.15,0,12,2.91103840986603,0,0.24375,0.0264150943396226,161,0,140.8
1,0.166666666666667,1,30,4.31680210264225,0.5,0.422119815668203,0.328301886792453,24.5,7.75,43.4
1,0.183333333333333,1,26,4.05918214559269,0.25,0.475346260387812,0.154716981132075,61.25,3.5,72.2
1,0.2,1,94,7.05415465755744,1,0.228571428571429,0.847169811320755,0,35.25,65.8
1,0.216666666666667,1,64,5.97939699453975,0.75,0.24115523465704,0.624528301886792,8.5,19.25,55.4
1,0.233333333333333,0,20,3.62612606115295,0,0.335135135135135,0.113207547169812,49,0,59.2
1,0.25,1,91,6.95645209424475,0.5,0.153424657534247,0.545283018867925,10,14.25,87.6
1,0.266666666666667,1,146,8.52455521261034,1,0.236507936507937,0.892452830188679,0,56.5,100.8
1,0.283333333333333,1,171,9.12406409517552,0.25,0.242607683352736,0.486792452830189,41.25,40.25,171.8
1,0.3,1,83,6.68657283658712,0.25,0.178991596638655,0.358490566037736,25.25,10,95.2
1,0.316666666666667,1,101,7.27542202905561,0.75,0.239164490861619,0.70188679245283,2.25,32.75,76.6
1,0.333333333333333,1,73,6.32745157112439,1,0.272916666666667,0.426415094339623,0,43.25,38.4
1,0.35,1,37,4.72418331413403,0.25,0.133333333333333,0.207547169811321,8.5,3,41.4
1,0.366666666666667,0,5,1.99782342879897,0,0.564137931034483,0.0867924528301887,66.25,0,58
1,0.383333333333333,1,139,8.34634560731087,0.25,0.240588235294118,0.618867924528302,29.75,33.5,136
1,0.4,1,86,6.78944593021447,0.5,0.213471502590674,0.292452830188679,9.25,20.25,77.2
1,0.416666666666667,0,32,4.43827788827138,0.5,0.316751269035533,0.29622641509434,15.75,6.5,39.4
1,0.433333333333333,1,150,8.62420837814735,0.75,0.219112627986348,0.632075471698113,5,46,117.2
1,0.45,1,67,6.09834746035264,0.5,0.566386554621849,0.441509433962264,117,22.25,142.8
1,0.466666666666667,1,156,8.77088824192861,0.75,0.240270727580372,0.60377358490566,3.5,50.75,118.2
1,0.483333333333333,1,134,8.21589846198068,0.5,0.240867992766727,0.618867924528302,8.5,37.75,110.6
1,0.5,1,466,14.0412555701704,1,0.241288782816229,1,0,163.5,335.2
1,0.516666666666667,1,283,11.3309981143876,0.75,0.242629107981221,0.750943396226415,3.5,91,213
1,0.533333333333333,1,108,7.48810998820685,0.5,0.243362831858407,0.569811320754717,8.25,30.25,90.4
1,0.55,1,43,5.03954625745743,0.75,0.229787234042553,0.486792452830189,5.5,12.25,37.6
1,0.566666666666667,1,53,5.51364276075795,0.25,0.142760942760943,0.386792452830189,12.75,4.75,59.4
1,0.583333333333333,1,98,7.18169922431392,1,0.191954022988506,0.586792452830189,0,35.5,69.6
1,0.6,1,170,9.1010821854626,1,0.299300699300699,0.673584905660377,0,105.25,85.8
1,0.616666666666667,1,142,8.42333335048786,0.25,0.238867438867439,0.628301886792453,46,29.25,155.4
1,0.633333333333333,1,57,5.68887233686099,0.75,0.186206896551724,0.209433962264151,2,15.25,46.4
1,0.65,1,104,7.36757110409355,0.75,0.344124168514412,0.618867924528302,23,40.25,90.2
1,0.666666666666667,1,216,10.0882332033756,0.5,0.243838604143948,0.611320754716981,19,59.75,183.4
1,0.683333333333333,0,22,3.77782427368397,0,0.159633027522936,0.211320754716981,27,0,43.6
1,0.7,0,22,3.77782427368397,0,0.186096256684492,0.279245283018868,19.25,0,37.4
1,0.716666666666667,1,297,11.5687190229259,1,0.567912087912088,0.866037735849057,0,257.5,91
1,0.733333333333333,0,20,3.62612606115295,0,0.225968109339408,0.171698113207547,84.75,0,87.8
1,0.75,1,42,4.9888126515157,0.75,0.146808510638298,0.432075471698113,3,8.5,37.6
1,0.766666666666667,1,213,10.0277437974898,0.25,0.244424297370807,0.607547169811321,58.25,48.75,220.6
1,0.783333333333333,1,326,12.041582570648,0.5,0.243452380952381,0.807547169811321,21,92.5,268.8
1,0.8,1,170,9.1010821854626,1,0.425149700598802,0.594339622641509,0,129,66.8
1,0.816666666666667,0,15,3.20419723555673,0,0.216666666666667,0.132075471698113,53.25,0,57.6
1,0.833333333333333,1,71,6.2523184510325,0.5,0.388284518828452,0.533962264150943,48.25,17.5,95.6
1,0.85,0,17,3.38137265480804,0,0.203100775193798,0.162264150943396,43.25,0,51.6
1,0.866666666666667,1,37,4.72418331413403,0.25,0.522683706070287,0.320754716981132,115.75,5.5,125.2
1,0.883333333333333,1,96,7.11830561962175,0.75,0.253493975903614,0.545283018867925,13.5,29.75,83
1,0.9,1,315,11.865158337195,1,0.479715302491103,0.922641509433962,0,253.25,112.4
1,0.916666666666667,1,81,6.61680838424251,0.75,0.519700748129676,0.543396226415094,40.25,41.25,80.2
1,0.933333333333333,1,146,8.52455521261034,1,0.383279742765273,0.767924528301887,0,104.75,62.2
1,0.95,0,8,2.44528055538414,0,0.472103004291845,0,48.25,0,46.6
1,0.966666666666667,1,93,7.02178726688489,0.75,0.210891089108911,0.692452830188679,10,25.25,80.8
1,0.983333333333333,1,30,4.31680210264225,0,0.171786833855799,0.209433962264151,42.25,0,63.8
1,1,1,41,4.93738573994667,0.25,0.202214022140221,0.286792452830189,19.25,2.75,54.2
2,0.0166666666666667,1,73,6.32745157112439,1,0.272916666666667,0.820037105751391,0,43.25,38.4
2,0.0333333333333333,1,88,6.85689578758068,1,0.171786833855799,1,0,30.25,63.8
2,0.05,0,41,4.93738573994667,0.25,0.202214022140221,0.398886827458256,19.25,2.75,54.2
2,0.0666666666666667,1,71,6.2523184510325,0.75,0.383279742765273,0.536178107606679,18.75,29.75,62.2
2,0.0833333333333333,0,27,4.12559335212594,0.5,0.564137931034483,0.25417439703154,47.5,8.75,58
2,0.1,0,44,5.08961170900528,0.5,0.519700748129676,0.430426716141002,58.75,13.5,80.2
2,0.116666666666667,1,109,7.51784546320831,0.75,0.388284518828452,0.764378478664193,29.25,46,95.6
2,0.133333333333333,1,445,13.765589192283,0.75,0.241288782816229,0.966604823747681,5.25,142.5,335.2
2,0.15,0,34,4.55549877645288,0.5,0.229787234042553,0.424860853432282,10,5.5,37.6
2,0.166666666666667,1,216,10.0882332033756,0.5,0.243838604143948,0.894248608534323,19,59.75,183.4
2,0.183333333333333,1,73,6.32745157112439,0.5,0.299300699300699,0.430426716141002,31,15,85.8
2,0.2,1,101,7.27542202905561,0.75,0.239164490861619,0.573283858998145,2.25,32.75,76.6
